VOLTS`V`float	deriv(v(out2))`V/V`float
1.24	0
1.24002	0
1.24002	-0.222222
1.24002	0
1.24002	-0.222222
1.24002	-0.222222
1.24002	0
1.24002	-0.222222
1.24002	0
1.24003	0
1.24003	-0.25
1.24004	0
1.24004	-0.25
1.24004	-0.25
1.24004	0
1.24004	-0.25
1.24004	0
1.24005	0
1.24005	-0.25
1.24005	0
1.24005	-0.25
1.24005	-0.25
1.24005	0
1.24005	-0.25
1.24006	0
1.24007	0
1.24007	-0.222222
1.24007	0
1.24007	-0.222222
1.24007	-0.222222
1.24007	0
1.24007	-0.222222
1.24007	0
1.24009	0
1.24009	-0.222222
1.24009	0
1.24009	-0.222222
1.24009	-0.222222
1.24009	0
1.24009	-0.222222
1.24009	0
1.24011	0
1.24011	-0.25
1.24011	0
1.24011	-0.25
1.24011	-0.25
1.24011	0
1.24011	-0.25
1.24011	0
1.24013	0
1.24013	-0.25
1.24013	0
1.24013	-0.25
1.24013	-0.25
1.24013	0
1.24013	-0.25
1.24013	0
1.24015	0
1.24015	-0.25
1.24015	0
1.24015	-0.25
1.24015	-0.25
1.24015	0
1.24015	-0.25
1.24015	0
1.24016	0
1.24016	-0.25
1.24016	0
1.24017	-0.25
1.24017	-0.25
1.24017	0
1.24017	-0.25
1.24017	0
1.24018	0
1.24018	-0.222222
1.24018	0
1.24018	-0.222222
1.24018	-0.222222
1.24018	0
1.24019	-0.222222
1.24019	0
1.2402	0
1.2402	-0.222222
1.2402	0
1.2402	-0.222222
1.2402	-0.222222
1.2402	0
1.2402	-0.222222
1.2402	0
1.24022	0
1.24022	-0.222222
1.24022	0
1.24022	-0.222222
1.24022	-0.222222
1.24022	0
1.24022	-0.222222
1.24022	0
1.24024	0
1.24024	-0.222222
1.24024	0
1.24024	-0.222222
1.24024	-0.222222
1.24024	0
1.24024	-0.222222
1.24024	0
1.24026	0
1.24026	-0.25
1.24026	0
1.24026	-0.25
1.24026	-0.25
1.24026	0
1.24026	-0.25
1.24026	0
1.24027	0
1.24027	-0.25
1.24028	0
1.24028	-0.25
1.24028	-0.25
1.24028	0
1.24028	-0.25
1.24028	0
1.24029	0
1.24029	-0.25
1.24029	0
1.24029	-0.25
1.24029	-0.25
1.24029	0
1.24029	-0.25
1.24029	0
1.24031	0
1.24031	-0.25
1.24031	0
1.24031	-0.25
1.24031	-0.25
1.24031	0
1.24031	-0.25
1.24031	0
1.24033	0
1.24033	-0.222222
1.24033	0
1.24033	-0.222222
1.24033	-0.222222
1.24033	0
1.24033	-0.222222
1.24033	0
1.24035	0
1.24035	-0.222222
1.24035	0
1.24035	-0.222222
1.24035	-0.222222
1.24035	0
1.24035	-0.222222
1.24035	0
1.24036	0
1.24036	-0.222222
1.24036	0
1.24036	-0.222222
1.24036	-0.222222
1.24036	0
1.24037	-0.222222
1.24037	0
1.24038	0
1.24038	-0.222222
1.24038	0
1.24038	-0.222222
1.24038	-0.222222
1.24038	0
1.24038	-0.222222
1.24038	0
1.2404	0
1.2404	-0.25
1.2404	0
1.2404	-0.25
1.2404	-0.25
1.2404	0
1.2404	-0.25
1.2404	0
1.24042	0
1.24042	-0.25
1.24042	0
1.24042	-0.25
1.24042	-0.25
1.24042	0
1.24042	-0.25
1.24042	0
1.24043	0
1.24043	-0.25
1.24043	0
1.24043	-0.25
1.24043	-0.25
1.24043	0
1.24044	-0.25
1.24044	0
1.24045	0
1.24045	-0.25
1.24045	0
1.24045	-0.25
1.24045	-0.25
1.24045	0
1.24045	-0.25
1.24045	0
1.24047	0
1.24047	-0.222222
1.24047	0
1.24047	-0.222222
1.24047	-0.222222
1.24047	0
1.24047	-0.222222
1.24047	0
1.24049	0
1.24049	-0.222222
1.24049	0
1.24049	-0.222222
1.24049	-0.222222
1.24049	0
1.24049	-0.222222
1.24049	0
1.2405	0
1.2405	-0.25
1.2405	0
1.2405	-0.25
1.2405	-0.25
1.2405	0
1.2405	-0.25
1.24051	0
1.24052	0
1.24052	-0.222222
1.24052	0
1.24052	-0.222222
1.24052	-0.222222
1.24052	0
1.24052	-0.222222
1.24052	0
1.24054	0
1.24054	-0.222222
1.24054	0
1.24054	-0.222222
1.24054	-0.222222
1.24054	0
1.24054	-0.222222
1.24054	0
1.24056	0
1.24056	-0.25
1.24056	0
1.24056	-0.25
1.24056	-0.25
1.24056	0
1.24056	-0.25
1.24056	0
1.24057	0
1.24057	-0.25
1.24057	0
1.24057	-0.25
1.24057	-0.25
1.24057	0
1.24057	-0.25
1.24057	0
1.24059	0
1.24059	-0.222222
1.24059	0
1.24059	-0.222222
1.24059	-0.222222
1.24059	0
1.24059	-0.222222
1.24059	0
1.24061	0
1.24061	-0.25
1.24061	0
1.24061	-0.25
1.24061	-0.25
1.24061	0
1.24061	-0.25
1.24061	0
1.24062	0
1.24062	-0.222222
1.24062	0
1.24062	-0.222222
1.24062	-0.222222
1.24062	0
1.24063	-0.222222
1.24063	0
1.24064	0
1.24064	-0.25
1.24064	0
1.24064	-0.25
1.24064	-0.25
1.24064	0
1.24064	-0.25
1.24064	0
1.24066	0
1.24066	-0.222222
1.24066	0
1.24066	-0.222222
1.24066	-0.222222
1.24066	0
1.24066	-0.222222
1.24066	0
1.24067	0
1.24067	-0.25
1.24067	0
1.24067	-0.25
1.24067	-0.25
1.24067	0
1.24067	-0.25
1.24068	0
1.24069	0
1.24069	-0.222222
1.24069	0
1.24069	-0.222222
1.24069	-0.222222
1.24069	0
1.24069	-0.222222
1.24069	0
1.24071	0
1.24071	-0.25
1.24071	0
1.24071	-0.25
1.24071	-0.25
1.24071	0
1.24071	-0.25
1.24071	0
1.24072	0
1.24072	-0.222222
1.24072	0
1.24072	-0.222222
1.24072	-0.222222
1.24072	0
1.24073	-0.222222
1.24073	0
1.24074	0
1.24074	-0.25
1.24074	0
1.24074	-0.25
1.24074	-0.25
1.24074	0
1.24074	-0.25
1.24074	0
1.24076	0
1.24076	-0.25
1.24076	0
1.24076	-0.25
1.24076	-0.25
1.24076	0
1.24076	-0.25
1.24076	0
1.24077	0
1.24077	-0.25
1.24077	0
1.24077	-0.25
1.24077	-0.25
1.24077	0
1.24077	-0.25
1.24078	0
1.24079	0
1.24079	-0.25
1.24079	0
1.24079	-0.25
1.24079	-0.25
1.24079	0
1.24079	-0.25
1.24079	0
1.24081	0
1.24081	-0.222222
1.24081	0
1.24081	-0.222222
1.24081	-0.222222
1.24081	0
1.24081	-0.222222
1.24081	0
1.24082	0
1.24082	-0.25
1.24082	0
1.24082	-0.25
1.24082	-0.25
1.24082	0
1.24082	-0.25
1.24082	0
1.24084	0
1.24084	-0.25
1.24084	0
1.24084	-0.25
1.24084	-0.25
1.24084	0
1.24084	-0.25
1.24084	0
1.24085	0
1.24085	-0.222222
1.24085	0
1.24086	-0.222222
1.24086	-0.222222
1.24086	0
1.24086	-0.222222
1.24086	0
1.24087	0
1.24087	-0.222222
1.24087	0
1.24087	-0.222222
1.24087	-0.222222
1.24087	0
1.24087	-0.222222
1.24087	0
1.24089	0
1.24089	-0.25
1.24089	0
1.24089	-0.25
1.24089	-0.25
1.24089	0
1.24089	-0.25
1.24089	0
1.2409	0
1.2409	-0.25
1.2409	0
1.2409	-0.25
1.2409	-0.25
1.2409	0
1.2409	-0.25
1.2409	0
1.24092	0
1.24092	-0.25
1.24092	0
1.24092	-0.25
1.24092	-0.25
1.24092	0
1.24092	-0.25
1.24092	0
1.24093	0
1.24093	-0.222222
1.24093	0
1.24094	-0.222222
1.24094	-0.222222
1.24094	0
1.24094	-0.222222
1.24094	0
1.24095	0
1.24095	-0.222222
1.24095	0
1.24095	-0.222222
1.24095	-0.222222
1.24095	0
1.24095	-0.222222
1.24095	0
1.24097	0
1.24097	-0.25
1.24097	0
1.24097	-0.25
1.24097	-0.25
1.24097	0
1.24097	-0.25
1.24097	0
1.24098	0
1.24098	-0.25
1.24098	0
1.24098	-0.25
1.24098	-0.25
1.24098	0
1.24098	-0.25
1.24098	0
1.241	0
1.241	-0.222222
1.241	0
1.241	-0.222222
1.241	-0.222222
1.241	0
1.241	-0.222222
1.241	0
1.24101	0
1.24101	-0.25
1.24101	0
1.24101	-0.25
1.24101	-0.25
1.24101	0
1.24101	-0.25
1.24102	0
1.24103	0
1.24103	-0.222222
1.24103	0
1.24103	-0.222222
1.24103	-0.222222
1.24103	0
1.24103	-0.222222
1.24103	0
1.24104	0
1.24104	-0.25
1.24104	0
1.24105	-0.25
1.24105	-0.25
1.24105	0
1.24105	-0.25
1.24105	0
1.24106	0
1.24106	-0.222222
1.24106	0
1.24106	-0.222222
1.24106	-0.222222
1.24106	0
1.24106	-0.222222
1.24106	0
1.24108	0
1.24108	-0.222222
1.24108	0
1.24108	-0.222222
1.24108	-0.222222
1.24108	0
1.24108	-0.222222
1.24108	0
1.24109	0
1.24109	-0.222222
1.24109	0
1.24109	-0.222222
1.24109	-0.222222
1.24109	0
1.24109	-0.222222
1.24109	0
1.24111	0
1.24111	-0.25
1.24111	0
1.24111	-0.25
1.24111	-0.25
1.24111	0
1.24111	-0.25
1.24111	0
1.24112	0
1.24112	-0.222222
1.24112	0
1.24112	-0.222222
1.24112	-0.222222
1.24112	0
1.24112	-0.222222
1.24112	0
1.24114	0
1.24114	-0.222222
1.24114	0
1.24114	-0.222222
1.24114	-0.222222
1.24114	0
1.24114	-0.222222
1.24114	0
1.24115	0
1.24115	-0.25
1.24115	0
1.24115	-0.25
1.24115	-0.25
1.24115	0
1.24115	-0.25
1.24115	0
1.24117	0
1.24117	-0.222222
1.24117	0
1.24117	-0.222222
1.24117	-0.222222
1.24117	0
1.24117	-0.222222
1.24117	0
1.24118	0
1.24118	-0.25
1.24118	0
1.24118	-0.25
1.24118	-0.25
1.24118	0
1.24118	-0.25
1.24119	0
1.2412	0
1.2412	-0.25
1.2412	0
1.2412	-0.25
1.2412	-0.25
1.2412	0
1.2412	-0.25
1.2412	0
1.24121	0
1.24121	-0.25
1.24121	0
1.24121	-0.25
1.24121	-0.25
1.24121	0
1.24121	-0.25
1.24122	0
1.24123	0
1.24123	-0.25
1.24123	0
1.24123	-0.25
1.24123	-0.25
1.24123	0
1.24123	-0.25
1.24123	0
1.24124	0
1.24124	-0.222222
1.24124	0
1.24124	-0.222222
1.24124	-0.222222
1.24124	0
1.24125	-0.222222
1.24125	0
1.24126	0
1.24126	-0.222222
1.24126	0
1.24126	-0.222222
1.24126	-0.222222
1.24126	0
1.24126	-0.222222
1.24126	0
1.24127	0
1.24127	-0.25
1.24127	0
1.24127	-0.25
1.24127	-0.25
1.24127	0
1.24127	-0.25
1.24128	0
1.24129	0
1.24129	-0.25
1.24129	0
1.24129	-0.25
1.24129	-0.25
1.24129	0
1.24129	-0.25
1.24129	0
1.2413	0
1.2413	-0.222222
1.2413	0
1.2413	-0.222222
1.2413	-0.222222
1.2413	0
1.2413	-0.222222
1.2413	0
1.24132	0
1.24132	-0.25
1.24132	0
1.24132	-0.25
1.24132	-0.25
1.24132	0
1.24132	-0.25
1.24132	0
1.24133	0
1.24133	-0.25
1.24133	0
1.24133	-0.25
1.24133	-0.25
1.24133	0
1.24133	-0.25
1.24133	0
1.24135	0
1.24135	-0.25
1.24135	0
1.24135	-0.25
1.24135	-0.25
1.24135	0
1.24135	-0.25
1.24135	0
1.24136	0
1.24136	-0.222222
1.24136	0
1.24136	-0.222222
1.24136	-0.222222
1.24136	0
1.24136	-0.222222
1.24136	0
1.24138	0
1.24138	-0.25
1.24138	0
1.24138	-0.25
1.24138	-0.25
1.24138	0
1.24138	-0.25
1.24138	0
1.24139	0
1.24139	-0.222222
1.24139	0
1.24139	-0.222222
1.24139	-0.222222
1.24139	0
1.24139	-0.222222
1.24139	0
1.24141	0
1.24141	-0.222222
1.24141	0
1.24141	-0.222222
1.24141	-0.222222
1.24141	0
1.24141	-0.222222
1.24141	0
1.24142	0
1.24142	-0.25
1.24142	0
1.24142	-0.25
1.24142	-0.25
1.24142	0
1.24142	-0.25
1.24142	0
1.24143	0
1.24143	-0.25
1.24144	0
1.24144	-0.25
1.24144	-0.25
1.24144	0
1.24144	-0.25
1.24144	0
1.24145	0
1.24145	-0.25
1.24145	0
1.24145	-0.25
1.24145	-0.25
1.24145	0
1.24145	-0.25
1.24145	0
1.24146	0
1.24146	-0.222222
1.24146	0
1.24146	-0.222222
1.24146	-0.222222
1.24146	0
1.24146	-0.222222
1.24146	0
1.24148	0
1.24148	-0.222222
1.24148	0
1.24148	-0.222222
1.24148	-0.222222
1.24148	0
1.24148	-0.222222
1.24148	0
1.24149	0
1.24149	-0.25
1.24149	0
1.24149	-0.25
1.24149	-0.25
1.24149	0
1.24149	-0.25
1.24149	0
1.24151	0
1.24151	-0.222222
1.24151	0
1.24151	-0.222222
1.24151	-0.222222
1.24151	0
1.24151	-0.222222
1.24151	0
1.24152	0
1.24152	-0.25
1.24152	0
1.24152	-0.25
1.24152	-0.25
1.24152	0
1.24152	-0.25
1.24152	0
1.24153	0
1.24153	-0.25
1.24153	0
1.24153	-0.25
1.24153	-0.25
1.24153	0
1.24153	-0.25
1.24154	0
1.24155	0
1.24155	-0.222222
1.24155	0
1.24155	-0.222222
1.24155	-0.222222
1.24155	0
1.24155	-0.222222
1.24155	0
1.24156	0
1.24156	-0.25
1.24156	0
1.24156	-0.25
1.24156	-0.25
1.24156	0
1.24156	-0.25
1.24156	0
1.24158	0
1.24158	-0.222222
1.24158	0
1.24158	-0.222222
1.24158	-0.222222
1.24158	0
1.24158	-0.222222
1.24158	0
1.24159	0
1.24159	-0.25
1.24159	0
1.24159	-0.25
1.24159	-0.25
1.24159	0
1.24159	-0.25
1.24159	0
1.2416	0
1.2416	-0.222222
1.2416	0
1.2416	-0.222222
1.2416	-0.222222
1.2416	0
1.24161	-0.222222
1.24161	0
1.24162	0
1.24162	-0.25
1.24162	0
1.24162	-0.25
1.24162	-0.25
1.24162	0
1.24162	-0.25
1.24162	0
1.24163	0
1.24163	-0.222222
1.24163	0
1.24163	-0.222222
1.24163	-0.222222
1.24163	0
1.24163	-0.222222
1.24163	0
1.24165	0
1.24165	-0.25
1.24165	0
1.24165	-0.25
1.24165	-0.25
1.24165	0
1.24165	-0.25
1.24165	0
1.24166	0
1.24166	-0.25
1.24166	0
1.24166	-0.25
1.24166	-0.25
1.24166	0
1.24166	-0.25
1.24166	0
1.24167	0
1.24167	-0.25
1.24167	0
1.24167	-0.25
1.24167	-0.25
1.24167	0
1.24167	-0.25
1.24167	0
1.24169	0
1.24169	-0.25
1.24169	0
1.24169	-0.25
1.24169	-0.25
1.24169	0
1.24169	-0.25
1.24169	0
1.2417	0
1.2417	-0.25
1.2417	0
1.2417	-0.25
1.2417	-0.25
1.2417	0
1.2417	-0.25
1.2417	0
1.24171	0
1.24171	-0.25
1.24171	0
1.24171	-0.25
1.24171	-0.25
1.24171	0
1.24171	-0.25
1.24172	0
1.24173	0
1.24173	-0.222222
1.24173	0
1.24173	-0.222222
1.24173	-0.222222
1.24173	0
1.24173	-0.222222
1.24173	0
1.24174	0
1.24174	-0.222222
1.24174	0
1.24174	-0.222222
1.24174	-0.222222
